algorithm_name,env_n,size,best_solution,H,states,time
random,14,8,"[4, 2, 0, 3, 1, 7, 5, 2]",1,20000,0.156710
HC,14,8,"[3, 6, 0, 2, 4, 1, 7, 4]",1,281,0.002357
HCR,14,8,"[3, 5, 7, 2, 0, 6, 4, 1]",0,843,0.003148
SA,14,8,"[4, 1, 3, 5, 7, 2, 0, 6]",0,954,0.006146
GA,14,8,"[3, 0, 4, 7, 5, 2, 6, 1]",0,44,0.093350
random,15,8,"[5, 1, 6, 4, 2, 7, 5, 3]",1,20000,0.151901
HC,15,8,"[1, 7, 0, 6, 3, 5, 0, 4]",1,337,0.001193
HCR,15,8,"[0, 5, 7, 2, 6, 3, 1, 4]",0,2476,0.011397
SA,15,8,"[2, 5, 3, 0, 7, 4, 6, 1]",0,419,0.002117
GA,15,8,"[6, 3, 0, 7, 4, 2, 5, 1]",1,20000,40.846848
random,16,8,"[3, 0, 6, 4, 1, 7, 0, 2]",1,20000,0.144255
HC,16,8,"[5, 1, 1, 6, 6, 3, 7, 0]",2,225,0.001115
HCR,16,8,"[4, 6, 3, 0, 2, 7, 5, 1]",0,2981,0.019671
SA,16,8,"[5, 1, 6, 0, 3, 7, 4, 2]",0,992,0.004987
GA,16,8,"[4, 7, 3, 0, 2, 5, 1, 6]",0,2591,5.184454
random,17,8,"[5, 1, 6, 4, 0, 7, 3, 2]",1,20000,0.141141
HC,17,8,"[6, 3, 3, 7, 2, 4, 1, 0]",3,225,0.002171
HCR,17,8,"[2, 5, 7, 0, 3, 6, 4, 1]",0,2025,0.008687
SA,17,8,"[5, 3, 6, 0, 7, 1, 4, 2]",0,549,0.003238
GA,17,8,"[1, 5, 0, 6, 3, 7, 2, 4]",0,1223,2.470020
random,18,8,"[3, 6, 2, 7, 5, 7, 0, 4]",1,20000,0.140681
HC,18,8,"[6, 1, 7, 5, 3, 0, 7, 4]",1,225,0.001080
HCR,18,8,"[5, 2, 4, 6, 0, 3, 1, 7]",0,731,0.002991
SA,18,8,"[4, 1, 3, 5, 7, 2, 0, 6]",0,383,0.001995
GA,18,8,"[6, 2, 5, 7, 0, 3, 6, 4]",1,20000,40.131064
random,19,8,"[6, 2, 0, 5, 1, 4, 1, 7]",1,20000,0.170588
HC,19,8,"[0, 1, 3, 6, 2, 7, 2, 4]",2,169,0.001004
HCR,19,8,"[5, 2, 0, 6, 4, 7, 1, 3]",0,2812,0.015170
SA,19,8,"[3, 6, 0, 7, 4, 1, 5, 2]",0,58,0.000000
GA,19,8,"[5, 2, 4, 6, 0, 3, 1, 7]",0,5,0.012152
random,20,8,"[2, 5, 1, 6, 0, 6, 4, 7]",1,20000,0.155380
HC,20,8,"[7, 4, 1, 5, 2, 0, 6, 3]",1,169,0.001004
HCR,20,8,"[0, 4, 7, 5, 2, 6, 1, 3]",0,4500,0.039140
SA,20,8,"[5, 2, 0, 6, 4, 7, 1, 3]",0,283,0.004222
GA,20,8,"[6, 3, 1, 7, 5, 0, 2, 4]",0,9,0.022093
random,21,8,"[5, 2, 0, 3, 6, 7, 1, 4]",1,20000,0.164857
HC,21,8,"[5, 0, 6, 4, 7, 1, 3, 2]",1,281,0.001428
HCR,21,8,"[1, 5, 0, 6, 3, 7, 2, 4]",0,2418,0.023293
SA,21,8,"[2, 0, 6, 4, 7, 1, 3, 5]",0,1328,0.008470
GA,21,8,"[4, 1, 3, 0, 6, 7, 5, 2]",1,20000,41.059112
random,22,8,"[6, 3, 1, 7, 4, 0, 2, 5]",1,20000,0.144478
HC,22,8,"[0, 6, 3, 7, 2, 4, 5, 1]",1,281,0.001062
HCR,22,8,"[2, 4, 6, 0, 3, 1, 7, 5]",0,731,0.004243
SA,22,8,"[6, 2, 7, 1, 4, 0, 5, 3]",0,204,0.001023
GA,22,8,"[3, 3, 7, 4, 2, 0, 5, 1]",1,20000,39.860871
random,23,8,"[4, 2, 3, 5, 7, 1, 6, 0]",1,20000,0.151970
HC,23,8,"[3, 7, 0, 4, 6, 1, 5, 2]",0,169,0.000000
HCR,23,8,"[3, 7, 0, 4, 6, 1, 5, 2]",0,169,0.001004
SA,23,8,"[3, 1, 6, 2, 5, 7, 4, 0]",0,808,0.003983
GA,23,8,"[0, 5, 7, 2, 6, 3, 1, 4]",0,8,0.018036
random,24,8,"[1, 5, 2, 0, 7, 3, 4, 6]",1,20000,0.144754
HC,24,8,"[6, 2, 3, 5, 0, 4, 1, 7]",1,281,0.002102
